rank,name,followers,er,country,topic_of_influence,potential_reach,channel_name,total_subscribers,total_views,total_videos
80,Carolina Díaz @UCEG_X195mDPg7KpAKiFg5jQ,6.4M,0.10%,Mexico,,1.9M, Ideas en 5 minutos DIY,6260000,1223378479,6288
81,Andrea Zuñiga @UC9_TrAv5QYFro8Q2LVuBepA,6.4M,-,Mexico,,1.9M,TheHectorino,11700000,1502655270,2409
82,Ideas en 5 minutos DIY @UCxBRABv7DQJqNn6zwkVFGsA,6.3M,-,Mexico,,1.9M,Liza Baez,20800000,6759304136,635
83,TheHectorino @UCUyrOJOArbGjNnrR_RXGHLw,6.3M,-,Mexico,,1.9M,123 GO! CHALLENGE Spanish,6220000,2202576940,880
84,Liza Baez @UCoWpURVabfgqPUeKljAaEOA,6.2M,4%,Mexico,,1.9M,Ideas en 5 minutos JUEGOS,6070000,1794566045,7283
85,123 GO! CHALLENGE Spanish @UCsaiqNNoq7V3-1hNY1zx-4Q,6.1M,-,Mexico,,1.8M,Kids First - Español Latino,8980000,3211784141,1948
86,Ideas en 5 minutos JUEGOS @UChHrhHukVqet_y5V9LgSfsg,6.1M,-,Mexico,,1.8M,JuanSGuarnizo,6350000,660082587,259
87,Kids First - Español Latino @UCJO_xCXaz346UcIboT1w0bg,6.1M,-,Mexico,,1.8M,Soy Francisco ALV,5920000,204647837,99
88,JuanSGuarnizo @UCdvyCPDTkkfd4MwqD7ZkGgg,6M,1.40%,Mexico,,1.8M,BUFF Academy APP,6530000,1147071877,417
89,Soy Francisco ALV @UChEnPftp7Jtke8KhH9tRT7g,5.9M,-,Mexico,,1.8M,Lonrot,5650000,403746246,154
90,BUFF - Academy @UCuzmut0enwi-LrnyYwD0NCA,5.8M,1.10%,Mexico,,1.8M,KimShantal,5710000,264507085,92
91,Lonrot @UCtfkNUjd4mPTfeyI0ehT1dQ,5.8M,1.50%,Mexico,,1.7M,Prankedy,6410000,1208887854,292
92,KimShantal @UCuxn14PUUrxDVJ2hqdU8uSQ,5.8M,-,Mexico,,1.7M,El FedeWolf,6740000,1906253201,534
93,Prankedy @UCrJ8BV1V76Y9mydSeqzfT6w,5.8M,-,Mexico,,1.7M,Sr Pelo,7110000,1666298164,201
94,El FedeWolf @UCWI2X2x3KASrvEZXdBVNxkA,5.8M,1.40%,Mexico,,1.7M,SKabeche,5930000,421349621,182
95,Sr Pelo @UCt-GOpCw4dOBlIyqL9A1ztA,5.8M,3.90%,Mexico,,1.7M,vicentefernandez®,8250000,10859962987,124
96,SKabeche @UCmmG1PC3Mtyx1KHJfJVGIpQ,5.8M,-,Mexico,,1.7M,HeyKids - Canciones Para Niños,7500000,2627670984,501
97,vicentefernandez® @UCwPTC2n6D8asyi1G5uBZlpw,5.7M,0.10%,Mexico,,1.7M,Jesus Adrian Romero,6820000,3974588791,330
98,HeyKids.es - Canciones Para Niños @UCoERKXqq6oMyoRlw5L2tQBQ,5.7M,-,Mexico,,1.7M,Daniel Carreón,8580000,1000065101,2716
99,Jesus Adrian Romero @UCL0G_Et4IZSqxN7CXL8bJJQ,5.6M,-,Mexico,,1.7M,mispastelitos,17200000,4050296639,777
100,Daniel Carreón @UCwScwtu5zVqc_wHtRx9XvDA,5.6M,-,Mexico,,1.7M,CRACKS,11200000,1204944741,492
